OPC-N3 Iss1.1 FirmwareVer=1.17a_02c.......................BS
 OPC-N3 177091518                                           
Config info:
LaserDAC,53
FanDAC,255
ToFtoSFRfactor,62
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
30,5,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0.690,1.740,23.932,51.066,2.798,15.499,29.560,1,0,42,6,0,583
21,2,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,49,0,63,0.680,1.710,23.932,46.275,3.524,14.152,37.492,4,0,35,8,0,583
27,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,43,0,0.680,2.120,23.889,45.893,2.045,11.109,18.384,8,0,27,5,0,583
22,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,32,0,0,0.680,2.040,23.932,45.528,2.269,4.909,5.168,4,0,28,3,0,583
36,3,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,39,42,0,0.680,2.000,23.919,45.231,4.724,25.446,36.455,4,0,22,1,0,583
18,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,36,0,0,0.680,1.880,23.932,45.069,2.129,3.596,3.653,2,0,25,7,0,583
35,5,4,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,56,42,0,0.680,2.110,23.961,44.799,4.777,22.096,31.361,5,0,30,5,0,583
21,3,0,1,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,36,46,0,0.680,2.120,23.975,44.659,3.037,18.713,68.667,4,0,29,6,0,583
35,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,44,0,0.680,2.260,23.975,44.492,2.575,10.939,13.788,4,0,27,6,0,583
37,5,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,38,0,0.680,2.430,23.975,44.384,2.717,13.126,16.926,3,0,31,4,0,583
27,6,5,5,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,45,0,0.680,2.660,23.988,44.279,4.091,18.905,62.908,3,0,36,7,0,583
22,3,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,49,0,0.680,2.700,24.004,44.247,2.101,10.296,12.839,8,0,31,3,0,583
30,5,4,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,31,0,0,0.680,2.820,24.017,44.224,2.962,13.704,22.830,1,0,41,12,0,583
39,5,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,34,0,0,0.680,2.830,24.017,44.295,2.874,13.422,22.514,3,0,28,6,0,583
35,5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,34,0,0.680,2.900,24.017,44.343,2.509,6.730,7.878,4,0,37,8,0,583
39,8,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,41,34,0,0.680,2.890,24.044,44.393,3.985,12.167,13.795,6,0,40,4,0,583
32,3,1,2,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,37,0,0.680,2.970,24.073,44.407,2.997,14.315,20.114,4,0,38,3,0,583
27,4,2,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,30,0,0,0.680,3.000,24.103,44.341,2.442,8.168,41.358,7,0,27,10,0,582
34,6,1,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,48,37,0,0.680,3.040,24.087,44.219,2.986,12.505,15.595,8,0,30,5,0,581
35,7,4,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,35,0,0,0.680,3.110,24.087,44.114,3.114,10.168,14.537,4,0,39,2,0,581
